Rating,Title,Seeds,Leeches,Date,Link
1,Capone.2020.720p.WEBRip.800MB.x264-GalaxyRG ⭐,2464,1140,7am May. 12th,1337x.to/torrent/4449439/Capone-2020-720p-WEBRip-800MB-x264-GalaxyRG/
2,Capone.2020.HDRip.XviD.AC3-EVO[TGx] ⭐,1545,508,6am May. 12th,1337x.to/torrent/4449372/Capone-2020-HDRip-XviD-AC3-EVO-TGx/
3,Rev.2020.720p.WEBRip.800MB.x264-GalaxyRG ⭐,1005,633,9am May. 12th,1337x.to/torrent/4449589/Rev-2020-720p-WEBRip-800MB-x264-GalaxyRG/
4,WWE Monday Night Raw 2020 05 11 HDTV x264-NWCHD [TJET],584,168,5am May. 12th,1337x.to/torrent/4449311/WWE-Monday-Night-Raw-2020-05-11-HDTV-x264-NWCHD-TJET/
5,Capone.2020.V2.1080p.WEB-DL.H264.AC3-EVO[TGx] ⭐,595,278,6am May. 12th,1337x.to/torrent/4449368/Capone-2020-V2-1080p-WEB-DL-H264-AC3-EVO-TGx/
6,The.Voices.2020.720p.WEBRip.800MB.x264-GalaxyRG ⭐,571,255,7am May. 12th,1337x.to/torrent/4449448/The-Voices-2020-720p-WEBRip-800MB-x264-GalaxyRG/
7,Capone.2020.1080p.WEBRip.1400MB.DD5.1.x264-GalaxyRG ⭐,416,268,10am May. 12th,1337x.to/torrent/4449638/Capone-2020-1080p-WEBRip-1400MB-DD5-1-x264-GalaxyRG/
8,Justice League Dark: Apokolips War (2020) [720p] [BluRay] [YTS] [YIFY],220,559,5am May. 12th,1337x.to/torrent/4449343/Justice-League-Dark-Apokolips-War-2020-720p-BluRay-YTS-YIFY/
9,Evil.Little.Things.2020.720p.WEBRip.800MB.x264-GalaxyRG ⭐,321,196,8am May. 12th,1337x.to/torrent/4449486/Evil-Little-Things-2020-720p-WEBRip-800MB-x264-GalaxyRG/
10,Capone.2020.1080p.WEB-DL.DD5.1.H264-FGT,322,206,7am May. 12th,1337x.to/torrent/4449437/Capone-2020-1080p-WEB-DL-DD5-1-H264-FGT/
11,50 Assorted Magazines - May 12 2020,171,293,1pm May. 12th,1337x.to/torrent/4449825/50-Assorted-Magazines-May-12-2020/
12,Interpreters.2020.720p.WEBRip.800MB.x264-GalaxyRG ⭐,347,192,8am May. 12th,1337x.to/torrent/4449500/Interpreters-2020-720p-WEBRip-800MB-x264-GalaxyRG/
13,40 Assorted Magazines - May 12 2020,167,244,1pm May. 12th,1337x.to/torrent/4449828/40-Assorted-Magazines-May-12-2020/
14,"Illegal - Justice, Out of Order (2020) Hindi 720p S01 Complete Ep(01-10) Voot Se...",117,66,4am May. 12th,1337x.to/torrent/4449299/Illegal-Justice-Out-of-Order-2020-Hindi-720p-S01-Complete-Ep-01-10-Voot-Select-WEBRip-x264-AAC-1-2GB-MovCr/
